ppid,status,name,brand,stars,reviews,questions,answers,love,price,size,category,countries,stars1,stars2,stars3,stars4,stars5,discontinued
P107306,full,Renewing Eye Cream,Murad,4.0671,164.0,17.0,44.0,5058.0,80.0,0.5 oz,Skincare:Eye Care:Eye Creams & Treatments,JP:KR:NL:GB:DE:CA:NO,19,10,7,33,95,False
P107319,full,Cleansing And Softening Shower Oil With Almond Oil,L’Occitane,4.4621,1268.0,25.0,148.0,32464.0,25.0,8.4 oz/ 250 mL,Bath & Body:Bath & Shower:Body Wash & Shower Gel,JP:KR:NL:GB:AU:DE:NO,35,50,94,204,886,False
P109905,full,Lip Colour - Sheer,Laura Mercier,4.363,427.0,19.0,28.0,6611.0,26.0,0.14 oz/ 4.2 g,Makeup:Lip:Lipstick,AU,14,17,34,97,265,False
P109906,full,Lip Glacé,Laura Mercier,4.5699,1044.0,29.0,54.0,22941.0,26.0,,Makeup:Lip:Lip Gloss,AU,16,26,56,195,751,False
P109908,full,Translucent Loose Setting Powder,Laura Mercier,4.4854,4409.0,264.0,774.0,335647.0,38.0,1 oz/ 30 mL,Makeup:Face:Setting Spray & Powder,AU,142,179,236,692,3166,False
P109911,full,Secret Brightening Powder,Laura Mercier,4.1774,919.0,54.0,197.0,45411.0,26.0,0.14 oz/ 4.2 g,Makeup:Face:Setting Spray & Powder,AU,62,49,89,183,536,False
P109912,full,Translucent Pressed Setting Powder,Laura Mercier,4.1923,208.0,15.0,51.0,6257.0,36.0,0.28 oz,Makeup:Face:Setting Spray & Powder,AU,10,11,21,53,113,False
P109927,full,Eye Basics,Laura Mercier,4.4325,1186.0,63.0,214.0,20268.0,28.0,0.18 oz,Makeup:Eye:Eye Primer,AU,45,44,66,229,802,False
P109929,full,Foundation Primer,Laura Mercier,4.1757,478.0,15.0,57.0,8279.0,38.0,1.75 oz,Makeup:Face:Face Primer,AU,31,35,32,101,279,False
P109931,full,Secret Camouflage,Laura Mercier,4.1252,1685.0,149.0,306.0,35449.0,35.0,0.26 oz/ 7.3 g,Makeup:Face:Concealer,AU,115,131,125,371,945,False
P109935,full,Secret Concealer,Laura Mercier,4.2693,1931.0,96.0,179.0,17932.0,27.0,0.08 oz/ 2.2 g,Makeup:Face:Concealer,AU,78,104,157,473,1119,False
P109936,full,Tinted Moisturizer Broad Spectrum SPF 20,Laura Mercier,4.4274,4048.0,310.0,635.0,64244.0,44.0,1.7 oz,Makeup:Face:Tinted Moisturizer,AU:CA,140,168,253,748,2739,False
P109940,full,Eye Pencil,Laura Mercier,4.1311,61.0,5.0,3.0,834.0,22.0,,Makeup:Eye:Eyeliner,AU,4,5,6,10,36,False
P109941,full,Kohl Eye Pencil,Laura Mercier,4.3186,681.0,14.0,75.0,6488.0,25.0,0.04 oz/ 1.2 g,Makeup:Eye:Eyeliner,AU,28,35,50,147,421,False
P109943,full,Eyebrow Pencil,Laura Mercier,4.2659,583.0,29.0,97.0,4788.0,24.0,0.04 oz/ 1.2 g,Makeup:Eye:Eyebrow,AU,56,17,23,107,380,False
P109949,full,Camouflage Powder Brush,Laura Mercier,4.7241,29.0,1.0,0.0,2193.0,28.0,,Makeup:Brushes & Applicators:Face Brushes,AU,0,1,0,5,23,False
P109956,full,Flat Eye Liner Brush,Laura Mercier,4.7217,97.0,1.0,2.0,6371.0,26.0,"6 5/16\""",Makeup:Brushes & Applicators:Eye Brushes,AU,2,1,7,2,85,False
P109959,full,Secret Camouflage Brush,Laura Mercier,4.2969,64.0,4.0,11.0,4936.0,26.0,"6.5""",Makeup:Brushes & Applicators:Face Brushes,AU,3,4,3,15,39,False
P109963,full,Secret Brightener,Laura Mercier,,,,,,,,,,0,0,0,0,0,True
P110010,full,4-Pack Sponge,Laura Mercier,4.4981,257.0,14.0,69.0,6185.0,15.0,,Makeup:Brushes & Applicators:Sponges & Applicators,AU,10,9,13,36,189,False
P110012,full,Velour Puff,Laura Mercier,4.0476,168.0,14.0,52.0,11354.0,15.0,,Makeup:Brushes & Applicators:Sponges & Applicators,AU,15,11,16,35,91,False
P110029,full,Multi-Vitamin Serum,Laura Mercier,4.4118,17.0,0.0,0.0,276.0,72.0,0.6 oz,Skincare:Treatments:Face Serums,AU:CA,1,1,1,1,13,False
P110113,full,for her Rollerball,Narciso Rodriguez,4.5749,581.0,13.0,73.0,8830.0,28.0,0.25 oz/ 7.5 mL,Fragrance:Women:Perfume,,20,13,27,74,447,False
P110409,full,Snow Bunny Luminous Bronzer,Too Faced,4.479,739.0,24.0,178.0,13767.0,30.0,0.28 oz/ 8 g,Makeup:Cheek:Bronzer,AU,17,25,47,148,503,False
P111606,full,Arced Eyeliner Brush 21,Smashbox,,,,,,,,,,0,0,0,0,0,True
P111902,full,"Lights, Camera, Lashes™ 4-in-1 Mascara",Tarte,4.2318,5013.0,71.0,605.0,62170.0,21.0,0.24 oz/ 7 mL,Makeup:Eye:Mascara,,278,330,395,962,3051,False
P112400,full,Oil Free Facial Lotion,Anthony,4.35,40.0,5.0,7.0,699.0,30.0,2.5 oz,Men:Skincare:Moisturizer & Treatments,CA,0,1,2,19,18,False
P112814,full,Omnia Crystalline,Bvlgari,4.5375,400.0,16.0,41.0,9382.0,66.0,1.3 oz/ 40 mL,Fragrance:Women:Perfume,,15,12,17,55,301,False
P113608,full,Berry Nurturing Gel Mask,Olehenriksen,4.4119,420.0,27.0,125.0,6929.0,36.0,3.2 oz/ 95 mL,Skincare:Masks:Face Masks,GB:NO,9,23,28,86,274,False
P114902,full,Max Complexion Correction Pads,Peter Thomas Roth,4.4279,1117.0,101.0,332.0,23472.0,40.0,60 Pads,Skincare:Treatments:Blemish & Acne Treatments,AU:CA,46,44,55,213,760,False
P116302,full,Perfecting Concealer,Stila,,,,,,,,,,0,0,0,0,0,True
P116609,full,Mega Rich Intensive Anti-Aging Cellular Creme,Peter Thomas Roth,4.5695,151.0,18.0,37.0,3267.0,85.0,1.7 oz,Skincare:Moisturizers:Moisturizers,AU:CA,2,5,10,22,112,False
P116610,full,Mega Rich Intensive Anti-Aging Cellular Eye Creme,Peter Thomas Roth,4.2115,208.0,14.0,22.0,4664.0,65.0,0.76 oz,Skincare:Eye Care:Eye Creams & Treatments,AU:CA,17,9,16,37,129,False
P116805,full,Greek Yoghurt Moisturizing Face Cream,Korres,4.3109,846.0,29.0,166.0,7665.0,36.0,1.35 oz/ 40 mL,Skincare:Moisturizers:Moisturizers,CA,36,42,69,175,524,False
P116908,full,Terracotta Khol Loose Powder Eyeliner,Guerlain,4.2218,275.0,31.0,43.0,5131.0,41.0,0.03 oz/ 0.85 g,Makeup:Eye:Eyeliner,JP:KR:NL:GB:AU:DE:NO,20,16,10,66,163,False
P117410,full,euphoria,Calvin Klein,4.5766,529.0,10.0,38.0,7936.0,72.0,1.7 oz/ 50 mL,Fragrance:Women:Perfume,,24,8,21,62,414,False
P119802,full,Skin Perfection Gel,Perfekt,4.0579,1743.0,88.0,358.0,11392.0,48.0,1.0 oz,Makeup:Face:Foundation,CA,142,152,135,348,966,False
P12041,full,Hot Salt Scrub,Bliss,,,,,,,,,,0,0,0,0,0,True
P12045,full,Grape Water,Caudalie,4.4509,621.0,27.0,115.0,29806.0,13.0,2.5 oz/ 75 mL,Skincare:Moisturizers:Mists & Essences,GB,18,15,43,138,408,False
P12090,full,Hope In A Tube Eye & Lip Cream,Philosophy,4.1903,725.0,21.0,99.0,6880.0,38.0,0.5 oz,Skincare:Eye Care:Eye Creams & Treatments,AU:CA,44,45,61,154,421,False
P122302,full,KP ’Double’ Duty  ,Dermadoctor,4.4262,183.0,17.0,64.0,2916.0,70.0,4 oz/ 120 mL,Bath & Body:Value & Gift Sets,,10,3,10,36,124,False
P122308,full,Hydra-Pure® Intense Moisture Cream with Chelating Complex™,Dr. Dennis Gross Skincare,4.069,29.0,7.0,6.0,1082.0,125.0,1.7 oz/ 50 mL,Skincare:Moisturizers:Moisturizers,AU,3,2,3,3,18,False
P122345,full,for her Eau de Parfum,Narciso Rodriguez,4.4296,284.0,12.0,44.0,6487.0,97.0,1.6 oz/ 50 mL,Fragrance:Women:Perfume,,17,10,14,36,207,False
P122626,full,Cream Shave,Clinique,4.5152,33.0,2.0,0.0,469.0,17.0,4.2 oz/ 125 mL,Men:Shaving:Shaving,JP:KR:NL:GB:DE:NO,1,2,0,6,24,False
P122628,full,Continuous Coverage,Clinique,4.1818,99.0,41.0,43.0,3675.0,25.0,1.2 oz,Makeup:Face:Concealer,JP:KR:NL:GB:DE:CA:NO,5,8,10,17,59,False
P122635,full,Clinique Happy for Men,Clinique,4.9155,71.0,1.0,0.0,1200.0,49.0,1.7 oz/ 50 mL,Fragrance:Men:Cologne,JP:KR:NL:GB:DE:NO,0,0,0,6,65,False
P122641,partial,Clinique Happy,Clinique,4.4925,601.0,13.0,30.0,11884.0,51.0,1.7 oz/ 50 mL,Fragrance:Women:Perfume,JP:KR:NL:GB:DE:NO,17,20,32,113,419,False
P122643,full,Clinique Happy Heart,Clinique,4.6545,191.0,7.0,42.0,4072.0,50.0,1.7 oz/ 50 mL,Fragrance:Women:Perfume,JP:KR:NL:GB:DE:NO,2,6,10,20,153,False
P122644,full,Antiperspirant-Deodorant Stick,Clinique,4.3103,29.0,5.0,8.0,575.0,15.0,2.25 oz,Bath & Body:Body Care:Deodorant & Antiperspirant,JP:KR:NL:GB:DE:CA:NO,3,1,1,3,21,False
P122646,full,Facial Soap with Dish,Clinique,4.431,355.0,11.0,73.0,3622.0,14.0,5.2 oz/ 147 g,Skincare:Cleansers:Face Wash & Cleansers,JP:KR:NL:GB:DE:NO,18,12,22,50,253,False
P122650,full,Repairwear Intensive Night Cream,Clinique,,,,,,,,,,0,0,0,0,0,True
P122651,full,Clarifying Lotion 1,Clinique,4.559,161.0,11.0,52.0,3795.0,14.5,6.7 oz/ 200 mL,Skincare:Cleansers:Toners,JP:KR:NL:GB:DE:NO,5,3,8,26,119,False
P122654,full,Deep Comfort Body Butter,Clinique,4.7816,206.0,9.0,21.0,4905.0,39.5,6.7 oz/ 200 mL,Bath & Body:Body Moisturizers:Body Lotions & Body Oils,JP:KR:NL:GB:DE:NO,1,2,5,25,173,False
P122661,partial,7 Day Scrub Cream Rinse-Off Formula,Clinique,4.5714,714.0,28.0,166.0,10325.0,21.0,3.4 oz/ 100 mL,Skincare:Cleansers:Exfoliators,JP:KR:NL:GB:DE:NO,15,20,28,130,521,False
P122663,full,Mild Clarifying Lotion,Clinique,,,,,,,,,,0,0,0,0,0,True
P122665,full,Face Scrub,Clinique,4.7172,145.0,2.0,12.0,2353.0,21.0,3.4 oz/ 100 mL,Men:Skincare:Face Wash,JP:KR:NL:GB:DE:NO,2,0,5,23,115,False
P122668,partial,Blended Face Powder and Brush,Clinique,4.3934,544.0,96.0,115.0,9537.0,25.0,,Makeup:Face:Setting Spray & Powder,JP:KR:NL:GB:DE:CA:NO,11,22,40,140,331,False
P122670,partial,Naturally Glossy Mascara,Clinique,4.3915,636.0,11.0,85.0,7058.0,17.5,0.2 oz/ 6 mL,Makeup:Eye:Mascara,JP:KR:NL:GB:DE:NO,29,27,36,118,426,False
P122675,full,Naturally Gentle Eye Makeup Remover,Clinique,4.4107,224.0,6.0,22.0,3095.0,19.0,2.5 oz/ 75 mL,Makeup:Accessories:Makeup Removers,JP:KR:NL:GB:DE:NO,11,10,14,30,159,False
P122682,full,Aloe Shave Gel,Clinique,4.7143,35.0,2.0,3.0,757.0,17.0,4.2 oz/ 125 mL,Men:Shaving:Shaving,JP:KR:NL:GB:DE:NO,1,1,0,3,30,False
P122683,full,Oil Control Mattifying Moisturizer,Clinique,4.3421,38.0,5.0,10.0,1231.0,27.0,3.4 oz/ 100 mL,Men:Skincare:Moisturizer & Treatments,JP:KR:NL:GB:DE:NO,2,2,1,9,24,False
P122684,full,Advanced Concealer,Clinique,3.9922,256.0,11.0,21.0,5343.0,18.5,,Makeup:Face:Concealer,JP:KR:NL:GB:DE:CA:NO,20,21,34,47,134,False
P122685,partial,Long Last Soft Shine Lipstick,Clinique,4.2937,555.0,41.0,68.0,9159.0,17.0,,Makeup:Lip:Lipstick,JP:KR:NL:GB:DE:CA:NO,19,21,62,129,324,False
P122690,full,Long Last Soft Matte Lipstick,Clinique,4.1595,232.0,9.0,17.0,14308.0,17.0,0.14 oz/ 4.2 g,Makeup:Lip:Lipstick,JP:KR:NL:GB:DE:NO,10,14,25,63,120,False
P122694,partial,Line Smoothing Concealer,Clinique,4.0989,657.0,22.0,68.0,10043.0,18.5,0.31 oz/ 9 mL,Makeup:Face:Concealer,JP:KR:NL:GB:DE:NO,28,41,76,205,307,False
P122699,full,Aromatics Elixir,Clinique,4.32,175.0,1.0,2.0,1590.0,54.0,1.5 oz/ 45 mL,Fragrance:Women:Perfume,JP:KR:NL:GB:DE:NO,18,8,6,11,132,False
P122707,full,Antiperspirant-Deodorant Roll-On,Clinique,,,,,,,,,,0,0,0,0,0,True
P122710,full,Face Soap With Dish,Clinique,4.4348,23.0,2.0,1.0,785.0,14.5,5.2 oz/ 147 g,Men:Skincare:Face Wash,JP:KR:NL:GB:DE:NO,0,0,3,7,13,False
P122718,partial,Exfoliating Scrub,Clinique,4.7151,930.0,39.0,192.0,18752.0,21.0,3.4 oz/ 100 mL,Skincare:Cleansers:Exfoliators,JP:KR:NL:GB:DE:NO,15,15,16,128,756,False
P122722,full,Different Lipstick,Clinique,4.4942,433.0,16.0,31.0,7018.0,17.0,,Makeup:Lip:Lipstick,JP:KR:NL:GB:DE:NO,8,12,28,95,290,False
P122727,full,Repairwear Anti-Gravity Eye Lift Cream,Clinique,4.1743,241.0,23.0,44.0,6481.0,41.0,0.5 oz/ 15 mL,Skincare:Eye Care:Eye Creams & Treatments,JP:KR:NL:GB:DE:NO,10,14,25,67,125,False
P122732,full,Wash-Away Gel Cleanser,Clinique,,,,,,,,,,0,0,0,0,0,True
P122733,full,Touch Base for Eyes,Clinique,,,,,,,,,,0,0,0,0,0,True
P122735,partial,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",Clinique,4.5691,2107.0,25.0,182.0,38943.0,19.0,4.2 oz/ 125 mL,Makeup:Accessories:Makeup Removers,JP:KR:NL:GB:DE:NO,42,50,114,362,1539,False
P122736,partial,Superpowder Double Face Makeup,Clinique,4.3417,600.0,73.0,82.0,11156.0,24.0,0.35 oz/ 10.5 g,Makeup:Face:Foundation,JP:KR:NL:GB:DE:NO,17,32,38,155,358,False
P122739,full,Superbalm Lip Treatment,Clinique,4.3024,205.0,10.0,25.0,5010.0,16.5,.25 oz,Makeup:Lip:Lip Balm & Treatment,JP:KR:NL:GB:DE:CA:NO,7,16,18,31,133,False
P122740,partial,Superbalanced Makeup,Clinique,4.2105,836.0,117.0,116.0,12237.0,25.0,1 oz/ 30 mL,Makeup:Face:Foundation,JP:KR:NL:GB:DE:NO,31,40,96,224,445,False
P122748,partial,Stay-Matte Sheer Pressed Powder,Clinique,4.3434,1232.0,125.0,202.0,21421.0,25.0,,Makeup:Face:Foundation,JP:KR:NL:GB:DE:NO,49,42,91,305,745,False
P122749,full,Sparkle Skin Body Exfoliator,Clinique,4.4338,136.0,11.0,20.0,4530.0,26.5,6.7 oz/ 200 mL,Bath & Body:Bath & Shower:Scrub & Exfoliants,JP:KR:NL:GB:DE:NO,3,7,6,32,88,False
P122750,full,Soft-Pressed Powder Blusher,Clinique,4.0879,91.0,15.0,11.0,2073.0,23.0,,Makeup:Cheek:Blush,JP:KR:NL:GB:DE:CA:NO,5,7,9,24,46,False
P122751,partial,Almost Lipstick,Clinique,4.416,3053.0,36.0,245.0,38405.0,17.0,0.07 oz,Makeup:Lip:Lipstick,JP:KR:NL:GB:DE:NO,77,126,233,631,1987,False
P122761,full,Exfoliating Tonic,Clinique,4.5778,45.0,4.0,7.0,1502.0,14.0,6.7 oz,Men:Skincare:Moisturizer & Treatments,JP:KR:NL:GB:DE:NO,1,0,3,9,32,False
P122762,partial,Rinse-Off Foaming Cleanser,Clinique,4.571,683.0,12.0,79.0,8187.0,20.0,5 oz/ 150 mL,Skincare:Cleansers:Face Wash & Cleansers,JP:KR:NL:GB:DE:NO,21,18,24,105,514,False
P122763,full,Rinse-Off Eye Makeup Solvent,Clinique,4.3058,484.0,8.0,57.0,4757.0,19.0,4.2 oz/ 125 mL,Makeup:Accessories:Makeup Removers,JP:KR:NL:GB:DE:NO,38,22,25,68,331,False
P122764,full,Quickliner for Lips,Clinique,4.3644,247.0,24.0,23.0,6562.0,17.0,,Makeup:Lip:Lip Liner,JP:KR:NL:GB:DE:NO,14,7,19,42,165,False
P122765,partial,Quickliner for Eyes,Clinique,4.2963,1475.0,42.0,132.0,14122.0,17.0,0.01 oz/ 0.28 g,Makeup:Eye:Eyeliner,JP:KR:NL:GB:DE:NO,70,63,118,333,891,False
P122767,full,All About Lips,Clinique,4.0774,155.0,10.0,46.0,4188.0,23.5,0.41 oz/ 12 mL,Skincare:Lip Treatments:Lip Balms & Treatments,JP:KR:NL:GB:DE:NO,12,8,17,37,81,False
P122770,full,Post-Shave Soother,Clinique,4.8056,36.0,6.0,9.0,1408.0,20.0,2.5 oz/ 75 mL,Men:Shaving:Aftershave,JP:KR:NL:GB:DE:NO,0,1,0,4,31,False
P122772,full,Non-Streak Bronzer,Clinique,4.4706,51.0,7.0,32.0,674.0,19.0,2 oz/ 60 mL,Bath & Body:Self Tanners,JP:KR:NL:GB:DE:NO,4,2,1,3,41,False
P122774,partial,All About Eyes,Clinique,4.0813,1439.0,64.0,217.0,18958.0,32.0,0.5 oz/ 15 mL,Skincare:Eye Care:Eye Creams & Treatments,JP:KR:NL:GB:DE:NO,86,90,160,388,715,False
P122782,full,Repairwear Intensive Lip Treatment,Clinique,4.3192,213.0,7.0,50.0,7770.0,28.0,0.14 oz/ 4 g,Skincare:Lip Treatments:Lip Balms & Treatments,JP:KR:NL:GB:DE:NO,7,14,18,39,135,False
P122806,full,Broad Spectrum SPF 21 Moisturizer,Clinique,4.3871,62.0,6.0,9.0,1599.0,26.0,3.4 oz/ 100 mL,Men:Skincare:Moisturizer & Treatments,JP:KR:NL:GB:DE:NO,1,1,5,21,34,False
P122807,full,True Bronze Pressed Powder Bronzer,Clinique,4.5611,221.0,23.0,69.0,5034.0,27.5,,Makeup:Cheek:Bronzer,JP:KR:NL:GB:DE:NO,4,8,11,35,163,False
P122809,full,Moisturizing Lotion,Clinique,4.5143,35.0,2.0,3.0,1005.0,27.0,3.4 oz/ 100 mL,Men:Skincare:Moisturizer & Treatments,JP:KR:NL:GB:DE:NO,1,1,1,8,24,False
P122810,full,Maximum Hydrator,Clinique,4.619,42.0,6.0,3.0,1837.0,34.0,1.7 oz/ 50 mL,Men:Skincare:Moisturizer & Treatments,JP:KR:NL:GB:DE:NO,1,1,1,7,32,False
P122834,partial,Lash Doubling Mascara,Clinique,4.0491,652.0,9.0,41.0,6370.0,17.5,0.28 oz/ 8 mL,Makeup:Eye:Mascara,JP:KR:NL:GB:DE:NO,43,48,75,154,332,False
P122863,full,Perfectly Real™ Makeup,Clinique,,,,,,,,,,0,0,0,0,0,True
P122866,partial,Lash Building Primer,Clinique,4.3058,641.0,17.0,151.0,12412.0,16.5,,Makeup:Eye:Mascara,JP:KR:NL:GB:DE:NO,32,27,57,122,403,False
P122868,partial,Superfine Liner for Brows,Clinique,4.3759,540.0,16.0,42.0,6990.0,17.0,0.002 oz/ 0.056 g,Makeup:Eye:Eyebrow,JP:KR:NL:GB:DE:NO,21,20,39,115,345,False
P122876,full,Clarifying Lotion 4,Clinique,4.3889,198.0,10.0,47.0,3057.0,14.5,6.7 oz/ 200 mL,Skincare:Cleansers:Toners,JP:KR:NL:GB:DE:NO,7,6,15,45,125,False
P122881,partial,Clarifying Lotion 3,Clinique,4.3494,724.0,25.0,89.0,11414.0,14.5,6.7 oz/ 200 mL,Skincare:Cleansers:Toners,JP:KR:NL:GB:DE:NO,32,29,45,166,452,False
P122882,partial,Clarifying Lotion 2,Clinique,4.4079,1091.0,35.0,156.0,18352.0,14.5,6.7 oz/ 200 mL,Skincare:Cleansers:Toners,JP:KR:NL:GB:DE:NO,52,38,61,202,738,False
P122897,full,Repairwear Intensive Night Cream Very Dry Skin Formula,Clinique,,,,,,,,,,0,0,0,0,0,True
P122900,full,Dramatically Different Moisturizing Gel,Clinique,4.4635,2943.0,108.0,514.0,54412.0,27.0,4.2 oz Pump/ 125 mL,Skincare:Moisturizers:Moisturizers,JP:KR:NL:GB:DE:NO,92,113,167,538,2033,False
P122912,partial,High Impact Mascara,Clinique,4.358,2081.0,42.0,222.0,20995.0,17.5,,Makeup:Eye:Mascara,JP:KR:NL:GB:DE:NO,79,86,150,462,1304,False
P122914,full,"Airbrush Concealer Illuminates, Perfects",Clinique,4.1952,415.0,20.0,76.0,12178.0,20.5,0.05 oz/ 1.5 mL,Makeup:Face:Concealer,JP:KR:NL:GB:DE:NO,18,26,36,112,223,False
P12295,partial,Sugar Face Polish,Fresh,4.5569,677.0,38.0,141.0,31117.0,62.0,4.4 oz/ 125 g,Skincare:Cleansers:Exfoliators,JP:SE:KR:NL:GB:AU:DE:NO,20,21,21,115,502,False
P12336,partial,Rose Face Mask,Fresh,4.1483,1369.0,48.0,267.0,53059.0,62.0,3.3 oz/ 100 mL,Skincare:Masks:Face Masks,JP:SE:KR:NL:GB:AU:DE:NO,91,100,114,274,790,False
P12340,full,Hydra-Bébé® Body Lotion,Mustela,4.15,20.0,2.0,1.0,641.0,16.0,10.14 oz,Bath & Body:Body Care:Mother & Baby,CA,3,0,1,3,13,False
P124001,full,Bienfait Multi-Vital Sunscreen Lotion Broad Spectrum SPF 30,Lancôme,4.128,125.0,12.0,27.0,2495.0,49.0,1.69 oz,Skincare:Moisturizers:Moisturizers,JP:SE:KR:NL:GB:DE:CA:NO,8,12,10,21,74,False
P12409,full,Perfume,Marc Jacobs Fragrances,4.7508,321.0,16.0,38.0,8188.0,90.0,1.7 oz,Fragrance:Women:Perfume,CA,3,3,13,33,269,False
P12420,partial,Light Blue,Dolce&Gabbana,4.5948,2537.0,42.0,161.0,51647.0,76.0,1.6 oz/ 50 mL,Fragrance:Women:Perfume,AU,68,59,114,351,1945,False
P12430,partial,Acqua Di Gio Pour Homme,Giorgio Armani Beauty,4.8124,613.0,12.0,27.0,9786.0,85.0,3.4 oz/ 100 mL,Fragrance:Men:Cologne,JP:KR:NL:GB:DE:NO,11,2,8,49,543,False
P12432,full,Emporio He,Giorgio Armani Beauty,,,,,,,,,,0,0,0,0,0,True
